Length	Lowest Frequency	Highest Frequency	Average Frequency	Frequency Band	Impulse Count	Average Impulse Length	Average Impulse Frequency Band	Common Impulse Direction
0.0	8518.8	8387.22	8453.01	131.58	1.0	0.0	-131.58	-1
0.9	4612.78	5101.5	4944.74	488.72	5.0	0.18	-26.314	0
1.6	8507.52	8394.74	8426.69	112.78	4.0	0.0	-176.6925	-1
0.2	2304.51	2507.52	2362.16	203.01	3.0	0.03333333333333333	27.57	0
0.6	3214.29	3349.62	3283.83	135.33	3.0	0.06666666666666668	-46.36666666666667	-1
0.4	3488.72	4827.07	4399.44	1338.35	4.0	0.0	-133.4575	-1
0.2	2165.41	2165.41	2165.41	0.0	5.0	0.04	-102.256	-1
6.8	8312.03	8503.76	8434.01	191.73	38.0	0.04473684210526317	-74.59447368421053	-1
0.4	2657.89	2785.71	2723.21	127.82	4.0	0.075	-31.015	-1
1.5	1605.26	2778.2	2187.4	1172.94	10.0	0.12000000000000002	-29.698999999999995	0
0.5	2244.36	2770.68	2607.68	526.32	7.0	0.042857142857142864	43.50285714285715	1
0.5	2578.95	2725.56	2617.67	146.61	5.0	0.16	-39.85	0
0.3	2571.43	2721.8	2629.07	150.37	3.0	0.13333333333333333	-40.1	0
6.6	8383.46	8511.28	8452.63	127.82	25.0	0.036000000000000004	-59.84879999999999	-1
2.9	8368.42	8394.74	8417.29	26.32	12.0	0.0	-147.86916666666662	-1
2.1	3150.38	8319.55	4667.56	5169.17	7.0	0.07142857142857142	-68.74428571428572	-1
3.3	8443.61	8394.74	8433.46	48.87	5.0	0.0	-127.068	-1
0.4	2443.61	2511.28	2443.99	67.67	5.0	0.08	-74.436	-1
0.5	1887.22	2026.32	1976.51	139.1	6.0	0.10000000000000002	-23.183333333333334	0
0.0	8590.22	8451.13	8520.67	139.09	1.0	0.0	-139.09	-1
4.0	1255.64	8518.8	7800.92	7263.16	11.0	0.027272727272727282	-50.23909090909091	-1
0.2	2657.89	2785.71	2723.05	127.82	3.0	0.06666666666666668	82.70666666666666	1
0.1	2714.29	2654.13	2698.62	60.16	3.0	0.0	-131.58	-1
0.7	2443.61	2541.35	2509.19	97.74	9.0	0.10000000000000002	-76.02222222222224	-1
0.7	2454.89	2496.24	2492.95	41.35	4.0	0.3	-53.57	-1
0.1	2500.0	2511.28	2464.91	11.28	3.0	0.03333333333333333	-85.21333333333331	-1
0.5	2477.44	2500.0	2463.35	22.56	2.0	0.25	-46.99	1
0.0	2372.18	2236.84	2302.63	135.34	2.0	0.0	-139.10000000000002	-1
0.1	1323.31	1199.25	1234.96	124.06	3.0	0.0	-176.69333333333333	-1
5.9	1187.97	8522.56	7843.25	7334.59	23.0	0.06086956521739133	-9.153043478260868	0
0.6	5026.32	5097.74	5073.93	71.42	3.0	0.10000000000000002	0.0	0
0.7	4819.55	5097.74	4935.46	278.19	3.0	0.26666666666666666	-1.2533333333333332	0
0.2	4819.55	4954.89	4887.22	135.34	2.0	0.1	0.0	0
3.1	6353.38	6428.57	6395.36	75.19	21.0	0.1714285714285715	-0.8952380952380949	-1
3.2	6353.38	6428.57	6379.07	75.19	12.0	0.2416666666666667	0.6266666666666666	0
0.9	4609.02	5097.74	4840.85	488.72	3.0	0.16666666666666666	0.0	0
0.8	4819.55	5097.74	4934.84	278.19	6.0	0.18333333333333335	0.0	0
1.1	4330.83	5026.32	4713.66	695.49	6.0	0.26666666666666666	0.0	0
0.0	4605.26	4473.68	4539.47	131.58	1.0	0.0	-131.58	-1
0.3	4402.26	4609.02	4469.92	206.76	5.0	0.08	-54.13200000000001	-1
0.6	4330.83	4887.22	4581.2	556.39	5.0	0.12	0.0	0
0.3	5026.32	5026.32	5026.32	0.0	1.0	0.3	0.0	0
0.9	4672.93	5030.07	4871.71	357.14	4.0	0.15	-32.895	0
0.1	4612.78	4609.02	4610.9	3.76	1.0	0.1	-3.76	-1
0.7	4887.22	5097.74	4958.02	210.52	3.0	0.06666666666666668	-43.86000000000001	0
0.8	4669.17	5030.07	4840.85	360.9	3.0	0.10000000000000002	-42.606666666666655	0
1.0	4402.26	5097.74	4748.12	695.48	2.0	0.15000000000000002	-3.76	0
1.1	4334.59	5101.5	4801.69	766.91	4.0	0.2	31.955	0
0.4	4469.92	4612.78	4563.91	142.86	3.0	0.2333333333333333	0.0	0
