Total MaxAmp	Split MaxAmp 1	Split MaxAmp 2	Split MaxAmp 3	Split MaxAmp 4	SCO	Centroid	Spread	Flatness	Flag
86235.31454883571	30046.69362455041	53729.68373927721	48862.447696229094	28689.409744386016	2385.096899588823	2508.365418896042	3813226.6778522036	0.0044191663319410115	1.0
65600.44194123773	22789.341258427812	38486.823032136286	40417.250124765626	22171.732346767014	2533.5815175993152	2409.111256913537	2946092.17601513	0.004738719246027163	1.0
95977.97724436631	40267.763939359094	54143.72611286757	48956.34764565166	36435.52375374514	3015.6658041118117	3060.0231259452516	5277851.153660271	0.00434686057434634	1.0
273320.0459248336	18844.4228847259	131527.33810131543	159809.89523367598	160108.5301304657	4583.321032052712	5777.294404598101	3316037.149442337	0.002445913520255863	1.0
351331.1754195366	143637.17156741378	199271.26153934113	163774.51518664736	154623.50211275613	5617.171061168942	5888.0454389639235	3038817.136876406	0.0021139774146935754	1.0
295807.02914812905	102763.1097559597	148790.9907719562	180701.3516450623	119772.73550710853	4427.021337603024	5757.619907158227	3053179.282003393	0.0023432001292802455	1.0
254983.60570347353	15788.870429754912	102427.38075142393	159160.80957805717	148329.67321260195	4388.660167984664	5793.009605999177	3082146.598074471	0.0024558892660983007	1.0
275953.08628185885	143448.64421472047	192890.62704909433	101358.18763524202	16461.017912982876	4553.503169222297	5812.110034714659	3039393.4831946725	0.0023782607266610756	1.0
284258.6100070136	18289.310719316138	111110.00924056271	195301.97002448	157880.59968363374	5366.164428902005	5890.0709097932695	2982642.6760831857	0.0023541828686240375	1.0
366823.25660936773	188077.95044026602	177976.29783022165	167129.85880586348	161381.5629569411	5659.317420596108	5772.902975849419	3047696.776342879	0.0021445829174589377	1.0
272651.84281754587	128832.16629918745	156759.96505868566	127448.91581122756	109371.6969761076	3881.7213199746343	4955.850811939348	6693101.9194235755	0.002723439969984365	1.0
62471.304328162616	10719.504926433947	29833.37856700273	50702.9939058777	29853.211250386135	5074.802838365324	2481.541355910608	2361777.717587379	0.0041031571082662446	1.0
70121.56683124028	18133.41386489981	45998.99488070616	30603.440124431152	24417.372381745718	2812.209150432044	2324.649749834797	3386785.084291184	0.0044422692810060895	1.0
44359.365995411	13673.04802139726	27339.5879474404	26698.68501902158	15274.541132796803	2071.4241042826534	2293.1623372592244	3727062.0494963024	0.005814412731143153	1.0
55493.97027958052	12644.652769554963	28055.182560175675	40490.10662743232	12900.159129278747	2943.4009627563983	2400.286637351964	2952659.5343702408	0.004863095672871958	1.0
27435.98839836635	822.9438796845554	16764.31439306051	25409.781213046255	796.631519576813	2360.117357136727	3353.2760997573264	2282408.445349653	0.0051824393575679575	1.0
27340.848435751705	1846.7433735109473	11468.649636458094	26031.883470946294	1602.3523362378794	1802.6892341116798	3053.1697062998473	1780584.5531031247	0.00547995211971311	1.0
115456.90321698177	57931.30403901512	61097.78306606856	55282.0480055798	66914.76396522066	3853.342290226956	1804.191258709034	3661039.3922262886	0.003440647579139049	1.0
108936.27549079688	47594.14327812721	47538.401485195	48791.88540161448	71020.79766555045	3028.0601835320995	1752.5958983911733	3185947.5972949388	0.003462736837017261	1.0
74360.92559748315	21191.63523042134	14150.43507074687	26210.93810788672	55845.172698286835	2013.1204133761887	1873.1714374755225	2233896.470691841	0.003742349190573855	1.0
81901.5412567226	9741.506541238232	21887.296720909428	67101.15003623167	26269.796696034457	1808.6439651556539	2024.1713831109887	2567077.8904181984	0.0038712220922784576	1.0
71445.79980091151	13210.840928319292	22376.68529131513	57362.98979863813	23380.029375068712	1704.050754725625	1774.7755780954144	2277189.637797385	0.003914763465231549	1.0
93358.37600827459	22775.166241376708	35463.65666731307	67978.46157679096	29594.295779964712	2479.9732318225297	1693.8740459407677	2127030.983567282	0.003208869668033501	1.0
